,file_name,old_hypotheses,old_tok_len,hypotheses,tok_len,old_captions,captions
0,000000064183.jpg,"['رجل', 'يرتدي', 'سترة', 'صفراء']",4,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,رجل يرتدي سترة صفراء,امرأة في الشارع
1,000000065288.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'في', 'الثلج']",6,"['كلب', 'يقفز', 'في', 'ال', '+', 'هواء']",6,اثنين من الكلاب يلعبون في الثلج,كلب يقفز في الهواء
2,000000144000.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'كرة', 'القدم']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يلعبون كرة القدم,مجموعة من الناس في الشارع
3,000000323789.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['صبي', 'صغير', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر']",39,رجل يجلس على مقعد,صبي صغير يرتدي قميصا أحمر واللون الأحمر واللون الأحمر واللون الأحمر واللون الأحمر
4,000000416098.jpg,"['رجل', 'يركب', 'دراجة', 'هوائية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'في', 'ال', '+', 'هواء']",9,رجل يركب دراجة هوائية,رجل يركب دراجة في الهواء
5,000000121785.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'في', 'الخارج']",6,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يلعبون في الخارج,العديد من الناس في الشارع
6,000000287735.jpg,"['رجل', 'في', 'قميص', 'أحمر', 'يقف', 'أمام', 'الكاميرا']",7,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,رجل في قميص أحمر يقف أمام الكاميرا,امرأة صغيرة في الشارع
7,000000356060.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الشارع']",6,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس يقفون في الشارع,امرأة في الشارع
8,000000386707.jpg,"['رجل', 'في', 'قميص', 'أزرق', 'يجلس', 'على', 'الرصيف']",7,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'يقف', '+', 'ان', 'في', 'ال', '+', 'شارع']",13,رجل في قميص أزرق يجلس على الرصيف,رجل وامرأة يقفان في الشارع
9,000000440610.jpg,"['رجل', 'يقف', 'على', 'الشاطئ']",4,"['شخص', '+', 'ان', 'على', 'ال', '+', 'شاطئ']",7,رجل يقف على الشاطئ,شخصان على الشاطئ
10,000000072998.jpg,"['رجل', 'يجلس', 'على', 'لوح', 'التزلج']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,رجل يجلس على لوح التزلج,الناس في الشارع
11,000000106438.jpg,"['رجل', 'يجلس', 'على', 'الأرض']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يجلس على الأرض,امرأة صغيرة في الهواء
12,000000358104.jpg,"['فتاة', 'صغيرة', 'ترتدي', 'قبعة', 'حمراء']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,فتاة صغيرة ترتدي قبعة حمراء,امرأة صغيرة في الشارع
13,000000458543.jpg,"['مجموعة', 'من', 'لاعبي', 'كرة', 'القدم']",5,"['اثنين', 'من', 'ال', '+', 'رجال', 'يلعب', '+', 'ون', 'ال', '+', 'كر', '+', 'ة']",13,مجموعة من لاعبي كرة القدم,اثنين من الرجال يلعبون الكرة
14,000000480454.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,الناس في الشارع
15,000000127575.jpg,"['رجل', 'يقف', 'أمام', 'مبنى']",4,"['ال', '+', 'ناس', 'يقف', '+', 'ون', 'في', 'ال', '+', 'شارع']",10,رجل يقف أمام مبنى,الناس يقفون في الشارع
16,000000274907.jpg,"['رجل', 'يرتدي', 'سترة', 'سوداء']",4,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'يقف', '+', 'ان', 'في', 'ال', '+', 'شارع']",13,رجل يرتدي سترة سوداء,رجل وامرأة يقفان في الشارع
17,000000306585.jpg,"['رجل', 'يرتدي', 'سترة', 'حمراء', 'في', 'الثلج']",6,"['طفل', '+', 'ان', 'في', 'ال', '+', 'ثلج']",7,رجل يرتدي سترة حمراء في الثلج,طفلان في الثلج
18,000000430079.jpg,"['رجل', 'يقوم', 'بخدعة', 'على', 'منحدر']",5,"['ال', '+', 'متزلج', 'على', 'ال', '+', 'دراج', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,رجل يقوم بخدعة على منحدر,المتزلج على الدراجة في الهواء
19,000000554459.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الخارج']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يقفون في الخارج,مجموعة من الناس في الشارع
20,000000015725.jpg,"['طفل', 'صغير', 'يرتدي', 'سترة', 'حمراء']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,طفل صغير يرتدي سترة حمراء,فتاة صغيرة صغيرة في الهواء
21,000000228504.jpg,"['مجموعة', 'من', 'الناس', 'على', 'الشاطئ']",5,"['شخص', '+', 'ان', 'على', 'ال', '+', 'شاطئ']",7,مجموعة من الناس على الشاطئ,شخصان على الشاطئ
22,000000290114.jpg,"['رجل', 'وامرأة', 'يجلسان', 'في', 'الكاميرا']",5,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'و', '+', 'امرأ', '+', 'ة', 'و', '+', 'امرأ', '+', 'ة']",16,رجل وامرأة يجلسان في الكاميرا,رجل وامرأة وامرأة وامرأة
23,000000360152.jpg,"['فتاة', 'صغيرة', '<unk>', '<unk>', '<unk>']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,فتاة صغيرة <unk> <unk> <unk>,فتاة صغيرة صغيرة في الهواء
24,000000422982.jpg,"['امرأة', 'تجلس', 'على', 'مقعد']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,امرأة تجلس على مقعد,امرأة صغيرة في الشارع
25,000000020245.jpg,"['رجل', 'يقف', 'في', 'حقل']",4,"['صبي', 'صغير', 'يقفز', 'في', 'ال', '+', 'عشب']",7,رجل يقف في حقل,صبي صغير يقفز في العشب
26,000000063703.jpg,"['رجل', 'يتزلج', 'على', 'الجليد']",4,"['ال', '+', 'متزلج', 'في', 'ال', '+', 'ثلج']",7,رجل يتزلج على الجليد,المتزلج في الثلج
27,000000252783.jpg,"['رجل', 'يرتدي', 'قبعة', 'حمراء']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يرتدي قبعة حمراء,امرأة صغيرة في الهواء
28,000000465911.jpg,"['صبي', 'صغير', 'يقفز', 'في', 'الهواء']",5,"['صبي', 'صغير', 'يقفز', 'في', 'ال', '+', 'هواء']",7,صبي صغير يقفز في الهواء,صبي صغير يقفز في الهواء
29,000000476826.jpg,"['رجل', 'يقفز', 'في', 'الهواء']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء', 'ال', '+', 'أحمر']",13,رجل يقفز في الهواء,امرأة صغيرة في الهواء الأحمر
30,000000206922.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يجلس على مقعد,امرأة صغيرة في الهواء
31,000000240339.jpg,"['فتاة', 'صغيرة', 'تجلس', 'على', 'الرصيف']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",16,فتاة صغيرة تجلس على الرصيف,فتاة صغيرة صغيرة صغيرة في الهواء
32,000000453959.jpg,"['صبي', 'صغير', 'يلعب', 'في', 'الرمال']",5,"['صبي', 'صغير', 'يقفز', 'في', 'ال', '+', 'هواء']",7,صبي صغير يلعب في الرمال,صبي صغير يقفز في الهواء
33,000000519652.jpg,"['رجل', 'يركب', 'دراجة', 'نارية']",4,"['شخص', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة']",8,رجل يركب دراجة نارية,شخص يركب دراجة نارية
34,000000530936.jpg,"['رجل', 'يقفز', 'في', 'الهواء']",4,"['شخص', '+', 'ان', 'في', 'ال', '+', 'هواء']",7,رجل يقفز في الهواء,شخصان في الهواء
35,000000255992.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'في', 'ال', '+', 'ثلج']",10,رجل يجلس على مقعد,رجل وامرأة في الثلج
36,000000285821.jpg,"['رجل', 'يقف', 'في', 'الهواء']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'قبع', '+', 'ة']",11,رجل يقف في الهواء,رجل يرتدي قميصا أحمر وقبعة
37,000000390238.jpg,"['اثنين', 'من', 'الناس', '<unk>', '<unk>']",5,"['اثنين', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",9,اثنين من الناس <unk> <unk>,اثنين من الناس في الشارع
38,000000550944.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الخارج']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يقفون في الخارج,مجموعة من الناس في الشارع
39,000000203690.jpg,"['رجل', 'يقف', 'على', 'الشاطئ']",4,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'ماء']",7,رجل يقف على الشاطئ,امرأة في الماء
40,000000233341.jpg,"['كلب', 'أبيض']",2,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,كلب أبيض,الناس في الشارع
41,000000299343.jpg,"['سيارة', 'سباق']",2,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,سيارة سباق,سيارة في الشارع
42,000000348496.jpg,"['مجموعة', 'من', 'الناس', 'على', 'الشاطئ']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'ماء']",11,مجموعة من الناس على الشاطئ,مجموعة من الناس في الماء
43,000000417983.jpg,"['اثنين', 'من', 'الكلاب', 'تلعب', 'في', 'حقل']",6,"['رجل', 'يجلس', 'على', 'ال', '+', 'ماء']",6,اثنين من الكلاب تلعب في حقل,رجل يجلس على الماء
44,000000013348.jpg,"['اثنين', 'من', 'الناس', 'على', 'الشاطئ']",5,"['سيار', '+', 'ة', 'سباق', 'في', 'ال', '+', 'شارع']",8,اثنين من الناس على الشاطئ,سيارة سباق في الشارع
45,000000015050.jpg,"['شخص', 'يتزلج', 'على', 'الجليد']",4,"['شخص', '+', 'ان', 'في', 'ال', '+', 'ثلج']",7,شخص يتزلج على الجليد,شخصان في الثلج
46,000000208174.jpg,"['رجل', 'يرتدي', 'سترة', 'سوداء', 'يقف', 'على', 'مقعد']",7,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'أسود', '+', 'ا', 'في', 'ال', '+', 'هواء']",15,رجل يرتدي سترة سوداء يقف على مقعد,رجل يرتدي قميصا أحمر وأسودا في الهواء
47,000000277956.jpg,"['صبي', 'صغير', 'يجلس', 'على', 'العشب']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'عشب']",16,صبي صغير يجلس على العشب,فتاة صغيرة صغيرة صغيرة في العشب
48,000000356396.jpg,"['رجل', 'يقف', 'في', 'الشارع']",4,"['سيار', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يقف في الشارع,سيارة من الناس في الشارع
49,000000004239.jpg,"['رجل', 'يتزلج', 'على', 'الجليد']",4,"['رجل', 'في', 'ال', '+', 'ثلج']",5,رجل يتزلج على الجليد,رجل في الثلج
50,000000075968.jpg,"['امرأة', 'في', 'ثوب', 'السباحة']",4,"['لاعب', 'كر', '+', 'ة', 'ال', '+', 'سل', '+', 'ة', 'ال', '+', 'سل', '+', 'ة', 'ال', '+', 'قدم']",17,امرأة في ثوب السباحة,لاعب كرة السلة السلة القدم
51,000000148999.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الهواء']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس في الهواء,مجموعة من الناس في الشارع
52,000000261283.jpg,"['رجل', 'يجلس', 'على', 'طاولة']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يجلس على طاولة,امرأة صغيرة في الهواء
53,000000006107.jpg,"['مجموعة', 'من', 'الأولاد', 'يلعبون', 'كرة', 'القدم']",6,"['طفل', '+', 'ان', 'يلعب', '+', 'ان', 'كر', '+', 'ة']",9,مجموعة من الأولاد يلعبون كرة القدم,طفلان يلعبان كرة
54,000000053121.jpg,"['رجل', 'يجلس', 'على', 'السرير']",4,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,رجل يجلس على السرير,رجل وامرأة صغيرة في الهواء
55,000000093964.jpg,"['سيارة', 'سباق', 'في', 'سباق']",4,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,سيارة سباق في سباق,سيارة في الشارع
56,000000365784.jpg,"['صبي', 'صغير', 'يقفز', 'في', 'الهواء']",5,"['صبي', 'صغير', 'يقفز', 'في', 'ال', '+', 'هواء']",7,صبي صغير يقفز في الهواء,صبي صغير يقفز في الهواء
57,000000333207.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'في', 'الخارج']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يجلسون في الخارج,مجموعة من الناس في الشارع
58,000000544408.jpg,"['رجل', 'يجلس', 'على', 'طاولة']",4,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يجلس على طاولة,العديد من الناس في الشارع
59,000000546010.jpg,"['رجل', 'يجلس', 'على', 'الطريق']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أسود', '+', 'ا', 'في', 'ال', '+', 'شارع']",12,رجل يجلس على الطريق,رجل يرتدي قميصا أسودا في الشارع
60,000000570069.jpg,"['مجموعة', 'من', 'الرجال', 'يلعبون', 'كرة', 'القدم']",6,"['اثنين', 'من', 'ال', '+', 'كلاب', 'يلعب', '+', 'ون', 'كر', '+', 'ة', 'ال', '+', 'قدم']",14,مجموعة من الرجال يلعبون كرة القدم,اثنين من الكلاب يلعبون كرة القدم
61,000000572900.jpg,"['صبي', 'صغير', 'يقف', 'في', 'الشارع']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,صبي صغير يقف في الشارع,امرأة صغيرة في الشارع
62,000000172387.jpg,"['امرأة', 'في', 'قميص', 'أبيض']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,امرأة في قميص أبيض,امرأة صغيرة صغيرة في الشارع
63,000000226639.jpg,"['رجل', 'يرتدي', 'قبعة', 'سوداء']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يرتدي قبعة سوداء,امرأة صغيرة في الهواء
64,000000291373.jpg,"['رجل', 'يتزلج', 'على', 'الجليد']",4,"['رجل', 'في', 'ال', '+', 'ثلج']",5,رجل يتزلج على الجليد,رجل في الثلج
65,000000432657.jpg,"['لاعب', 'كرة', 'القدم', 'في', 'الهواء']",5,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أبيض', 'و', '+', 'أسود', 'و', '+', 'ال', '+', 'أسود', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض']",24,لاعب كرة القدم في الهواء,رجل يرتدي قميصا أبيض وأسود والأسود والأبيض والأبيض
66,000000475906.jpg,"['رجل', 'يجلس', 'على', 'مقعد', 'في', 'الشارع']",6,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يجلس على مقعد في الشارع,العديد من الناس في الشارع
67,000000158759.jpg,"['رجل', 'يجلس', 'على', 'مقعد', 'في', 'الشارع']",6,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,رجل يجلس على مقعد في الشارع,امرأة صغيرة صغيرة في الشارع
68,000000160837.jpg,"['صبي', 'صغير', 'على', 'الأرجوحة']",4,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,صبي صغير على الأرجوحة,فتاة صغيرة في الهواء
69,000000270248.jpg,"['لاعب', 'كرة', 'القدم']",3,"['لاعب', 'كر', '+', 'ة', 'ال', '+', 'قدم']",7,لاعب كرة القدم,لاعب كرة القدم
70,000000376347.jpg,"['راكب', 'أمواج', 'يركب', 'موجة']",4,"['شخص', '+', 'ان', 'في', 'ال', '+', 'ماء']",7,راكب أمواج يركب موجة,شخصان في الماء
71,000000480747.jpg,"['رجل', 'يركب', 'موجة']",3,"['رجل', 'يركب', 'ال', '+', 'أمواج']",5,رجل يركب موجة,رجل يركب الأمواج
72,000000026374.jpg,"['لاعب', 'كرة', 'قدم']",3,"['لاعب', 'كر', '+', 'ة', 'كر', '+', 'ة', 'ال', '+', 'قدم']",10,لاعب كرة قدم,لاعب كرة كرة القدم
73,000000051474.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,سيارة في الشارع
74,000000055608.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الشارع']",6,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,مجموعة من الناس يقفون في الشارع,فتاة صغيرة صغيرة في الشارع
75,000000436394.jpg,"['رجل', 'في', 'قميص', 'أزرق', 'يقفز', 'في', 'الهواء']",7,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'أسود', '+', 'ا', 'أبيض', 'و', '+', 'ال', '+', 'أبيض']",17,رجل في قميص أزرق يقفز في الهواء,رجل يرتدي قميصا أحمر وأسودا أبيض والأبيض
76,000000554378.jpg,"['شخص', 'يركب', 'دراجة', 'نارية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة', 'ناري', '+', 'ة']",11,شخص يركب دراجة نارية,رجل يركب دراجة نارية نارية
77,000000149375.jpg,"['رجل', 'يتزلج', 'على', 'لوح', 'التزلج']",5,"['ال', '+', 'متزلج', 'يقفز', 'على', 'ال', '+', 'تزلج']",8,رجل يتزلج على لوح التزلج,المتزلج يقفز على التزلج
78,000000231034.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,رجل يجلس على مقعد,امرأة صغيرة صغيرة في الهواء
79,000000311562.jpg,"['شخص', 'يركب', 'دراجة', 'نارية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة']",8,شخص يركب دراجة نارية,رجل يركب دراجة نارية
80,000000312398.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'في', 'الخارج']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'ناس']",11,مجموعة من الناس يجلسون في الخارج,مجموعة من الناس في الناس
81,000000444444.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'في', 'الغابة']",6,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,اثنين من الكلاب يلعبون في الغابة,امرأة صغيرة في الشارع
82,000000016513.jpg,"['سيارة', 'سباق']",2,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,سيارة سباق,سيارة في الشارع
83,000000213827.jpg,"['رجل', 'على', 'لوح', 'التزلج', 'على', 'لوح', 'التزلج']",7,"['ال', '+', 'متزلج', 'على', 'ال', '+', 'ماء']",7,رجل على لوح التزلج على لوح التزلج,المتزلج على الماء
84,000000429658.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['شخص', '+', 'ان', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,شخصان في الشارع
85,000000571236.jpg,"['رجل', 'يرتدي', 'قبعة', 'سوداء']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أزرق', 'و', '+', 'قبع', '+', 'ة']",11,رجل يرتدي قبعة سوداء,رجل يرتدي قميصا أزرق وقبعة
86,000000574525.jpg,"['رجل', 'يرتدي', 'سترة', 'سوداء']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أزرق', 'و', '+', 'امرأ', '+', 'ة', 'و', '+', 'امرأ', '+', 'ة', 'و', '+', 'امرأ', '+', 'ة']",21,رجل يرتدي سترة سوداء,رجل يرتدي قميصا أزرق وامرأة وامرأة وامرأة
87,000000176029.jpg,"['سيارة', 'سباق', '<unk>']",3,"['سيار', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,سيارة سباق <unk>,سيارة من الناس في الشارع
88,000000230598.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['ثلاث', '+', 'ة', 'أشخاص', 'في', 'ال', '+', 'شارع']",8,مجموعة من الناس في الشارع,ثلاثة أشخاص في الشارع
89,000000372265.jpg,"['رجل', 'يتزلج', 'على', 'لوح', 'التزلج']",5,"['ال', '+', 'متزلج', 'على', 'ال', '+', 'تزلج']",7,رجل يتزلج على لوح التزلج,المتزلج على التزلج
90,000000374661.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'في', 'الخارج']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يجلسون في الخارج,مجموعة من الناس في الشارع
91,000000014874.jpg,"['رجل', 'يقف', 'في', 'الثلج']",4,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'ثلج']",7,رجل يقف في الثلج,امرأة في الثلج
92,000000044815.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'هواء']",11,مجموعة من الناس في الشارع,مجموعة من الناس في الهواء
93,000000127516.jpg,"['رجل', 'يركب', 'موجة']",3,"['صبي', 'في', 'ال', '+', 'ماء']",5,رجل يركب موجة,صبي في الماء
94,000000319943.jpg,"['راكب', 'أمواج', 'يركب', 'موجة']",4,"['راكب', 'ال', '+', 'أمواج', 'في', 'ال', '+', 'ماء']",8,راكب أمواج يركب موجة,راكب الأمواج في الماء
95,000000405620.jpg,"['شخص', 'على', 'دراجة', 'نارية']",4,"['شخص', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة']",8,شخص على دراجة نارية,شخص يركب دراجة نارية
96,000000014756.jpg,"['رجل', 'يرتدي', 'قميصا', 'أبيض', '<unk>']",5,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أبيض', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'لون', 'ال', '+', 'لون', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'أبيض']",39,رجل يرتدي قميصا أبيض <unk>,رجل يرتدي قميصا أبيض واللون اللون اللون اللون الأحمر واللون اللون الأحمر والأبيض
97,000000165412.jpg,"['اثنين', 'من', 'الكلاب', '<unk>', '<unk>']",5,"['سيار', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,اثنين من الكلاب <unk> <unk>,سيارة من الناس في الشارع
98,000000250809.jpg,"['رجل', 'يقف', 'في', 'الشارع']",4,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,رجل يقف في الشارع,امرأة في الشارع
